Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job? ,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
,,,,,,,,,,,,,Response,Response,Other (please specify),Response,Other (please specify),Response,Response,Response,Response,Response,Other (specify),Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
13364008039,415544481,02/28/2022 11:08:02 PM,02/28/2022 11:11:55 PM,,,,,a2190812e099db1acf53e77e05,smc,,,,Entertainment & Leisure,Server,,Middle Management,,Illinois,Very happy,High School,"Single, never married",Male,,Very satisfied,Every day,Always,Never,Far above average,Once per week,Very desirable,Somewhat agree,"$10,000-$24,999",Male,East North Central,iOS Phone / Tablet,30-44
13364006787,415544481,02/28/2022 11:05:37 PM,02/28/2022 11:11:24 PM,,,,,1ddeb642c211b71daab94b9679,smc,,,,Business Support & Logistics,Administrative assistant,Data Analyst,Intermediate,,Pennsylvania,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,Several times per week,Somewhat desirable,Strongly disagree,"$125,000-$149,999",Male,Middle Atlantic,Android Phone / Tablet,30-44
13364005450,415544481,02/28/2022 11:08:31 PM,02/28/2022 11:10:52 PM,,,,,b90054d9c37f33caa60039537c,smc,,,,I am currently not employed,Carpenter,,Other (please specify),No job,Idaho,Neither happy nor unhappy,Some High School,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Below average,Once per week,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Male,Mountain,iOS Phone / Tablet,30-44
13364003988,415544481,02/28/2022 11:09:07 PM,02/28/2022 11:10:18 PM,,,,,c1500568d8ec1be3728e7e2bde,smc,,,,Transportation & Delivery,Operations manager,,Owner/Executive/C-Level,,Illinois,Very happy,Bachelor's Degree,"Single, never married",Male,,Very satisfied,A few times a week,Always,Never,Far above average,Several times per week,Very desirable,Agree,"$200,000+",Male,East North Central,iOS Phone / Tablet,18-29
13364002431,415544481,02/28/2022 11:07:30 PM,02/28/2022 11:09:39 PM,,,,,842ade9945763dbbe7df8f6460,smc,,,,Manufacturing,Laborer,,Intermediate,,Ohio,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Very satisfied,A few times a week,Usually,Never,Above average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Male,East North Central,Android Phone / Tablet,18-29
13364002051,415544481,02/28/2022 11:07:49 PM,02/28/2022 11:09:30 PM,,,,,36a6c7935235f2b843f731f3f9,smc,,,,Manufacturing,Software developer,,Intermediate,,New York,Somewhat unhappy,Bachelor's Degree,"Single, never married",Male,,Satisfied,A few times a week,Usually,Never,Below average,Less than once per week,Not so desirable,Strongly disagree,"$50,000-$74,999",Male,Middle Atlantic,Android Phone / Tablet,18-29
13364000255,415544481,02/28/2022 11:06:27 PM,02/28/2022 11:08:44 PM,,,,,bff455e58d2e29f9574df221af,smc,,,,Food & Beverages,Operations manager,Also brewer,Senior Management,,New Mexico,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Very satisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Disagree,"$25,000-$49,999",Male,Mountain,iOS Phone / Tablet,30-44
13364000251,415544481,02/28/2022 11:06:43 PM,02/28/2022 11:08:44 PM,,,,,45ec2cf9974c4be8fe06060f36,smc,,,,Business Support & Logistics,Operations manager,,Middle Management,,New York,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Once a month,Always,Never,Above average,Less than once per week,Not so desirable,Somewhat agree,"$125,000-$149,999",Male,Middle Atlantic,iOS Phone / Tablet,30-44
13364000197,415544481,02/28/2022 11:07:23 PM,02/28/2022 11:08:42 PM,,,,,abcd073346b91ce299246364f7,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,,Virginia,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Satisfied,Less than once a month,Always,Never,Average,Every day of the week,Somewhat desirable,Strongly agree,"$100,000-$124,999",Male,South Atlantic,iOS Phone / Tablet,30-44
13364000113,415544481,02/28/2022 11:07:19 PM,02/28/2022 11:08:40 PM,,,,,d88e47cd86c50b012d385f8943,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Intermediate,,Arizona,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Average,Several times per week,Somewhat desirable,Strongly disagree,"$175,000-$199,999",Male,Mountain,iOS Phone / Tablet,30-44
13363998938,415544481,02/28/2022 11:07:02 PM,02/28/2022 11:08:11 PM,,,,,4b9d30abcee2a4fbf8d660df06,smc,,,,Automotive,Mechanic,,Senior Management,,New Jersey,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,Once a month,Sometimes,Never,Average,Several times per week,Very desirable,Disagree,"$150,000-$174,999",Male,Middle Atlantic,iOS Phone / Tablet,30-44
13363998749,415544481,02/28/2022 11:07:19 PM,02/28/2022 11:08:06 PM,,,,,a6db1f9dd0aae04b4042bdf4d7,smc,,,,"Construction, Machinery, and Homes",Laborer,,Middle Management,,Texas,Somewhat happy,High School,Married or domestic partnership,Male,,Very satisfied,About once a week,Sometimes,Sometimes,Average,Several times per week,Very desirable,Agree,"$10,000-$24,999",Male,West South Central,iOS Phone / Tablet,18-29
13363997790,415544481,02/28/2022 11:05:49 PM,02/28/2022 11:07:41 PM,,,,,63e0732d115c1b58b79cb7e55b,smc,,,,Government,Customer service representative,Benefit Technician,Intermediate,,Missouri,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,A few times a month,Usually,Rarely,Average,Several times per week,Somewhat desirable,Somewhat disagree,"$50,000-$74,999",Male,West North Central,Android Phone / Tablet,30-44
13363997207,415544481,02/28/2022 11:06:02 PM,02/28/2022 11:07:32 PM,,,,,74930b9bace9f8018a68cea84b,smc,,,,Government,Customer service representative,,Intermediate,,New Mexico,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Dissatisfied,Less than once a month,Usually,Never,Average,I never work out or exercise,Not so desirable,Strongly disagree,"$25,000-$49,999",Male,Mountain,Android Phone / Tablet,18-29
13363996960,415544481,02/28/2022 11:06:19 PM,02/28/2022 11:07:23 PM,,,,,53f1f990b812c2170f02536345,smc,,,,Education,Software developer,,Intermediate,,California,Somewhat happy,Master's Degree,"Single, never married",Male,,Dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree,"$50,000-$74,999",Male,Pacific,iOS Phone / Tablet,18-29
13363996528,415544481,02/28/2022 11:05:35 PM,02/28/2022 11:07:12 PM,,,,,676b5345e4c7a9642eb83a5e59,smc,,,,Food & Beverages,Cashier,,Intermediate,,Maine,Somewhat happy,High School,"Single, never married",Male,,Satisfied,A few times a month,Usually,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$0-$9,999",Male,New England,iOS Phone / Tablet,18-29
13363995519,415544481,02/28/2022 11:05:43 PM,02/28/2022 11:06:46 PM,,,,,ccddca873827f94dc204e21a1f,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,,California,Very happy,Master's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Always,Never,Above average,Every day of the week,Somewhat desirable,Strongly agree,"$0-$9,999",Male,Pacific,Android Phone / Tablet,30-44
13363994555,415544481,02/28/2022 10:28:22 PM,02/28/2022 11:06:25 PM,,,,,3adffd9b82fd99c82ca5627df6,smc,,,,Government,Operations manager,,Middle Management,,Illinois,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Never,Average,Several times per week,Very desirable,Disagree,"$175,000-$199,999",Female,East North Central,Android Phone / Tablet,> 60
13363991301,415544481,02/28/2022 11:03:04 PM,02/28/2022 11:05:09 PM,,,,,cf2ff2b170bd97e4b9143a0f49,smc,,,,"Telecommunications, Technology, Internet & Electronics",Electrician,,Entry Level,,Florida,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Usually,Rarely,Average,Several times per week,Somewhat desirable,Disagree,"$50,000-$74,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13363989402,415544481,02/28/2022 11:02:35 PM,02/28/2022 11:04:24 PM,,,,,7d57e3388d75b5879618b9168f,smc,,,,Real Estate,Operations manager,,Owner/Executive/C-Level,,Indiana,Somewhat happy,Master's Degree,"Single, never married",Male,,Satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Somewhat disagree,Prefer not to answer,Male,South Atlantic,iOS Phone / Tablet,18-29
13363989001,415544481,02/28/2022 11:02:36 PM,02/28/2022 11:04:14 PM,,,,,ded11eebc3b2bbe242feebd039,smc,,,,Transportation & Delivery,Line supervisor,,Middle Management,,Colorado,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,About once a week,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Somewhat agree,"$50,000-$74,999",Male,East North Central,iOS Phone / Tablet,30-44
13363986310,415544481,02/28/2022 10:57:26 PM,02/28/2022 11:03:12 PM,,,,,197aabd9eed833b12f7c4c804c,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Senior Management,,California,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a month,Never,Never,Below average,Every day of the week,Not at all desirable,Agree,"$75,000-$99,999",Female,Pacific,iOS Phone / Tablet,> 60
13363983874,415544481,02/28/2022 11:00:33 PM,02/28/2022 11:02:17 PM,,,,,d5612b592eba5ecb4fe9f68c2a,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Intermediate,,Utah,Somewhat happy,Master's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Far below average,Several times per week,Not so desirable,Somewhat disagree,"$75,000-$99,999",Male,Mountain,Android Phone / Tablet,18-29
13363982379,415544481,02/28/2022 10:57:06 PM,02/28/2022 11:01:43 PM,,,,,e0866c2ce939216dc352cb39b2,smc,,,,Government,Operations manager,1st Line Supervisor,Middle Management,,Georgia,Somewhat unhappy,Bachelor's Degree,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Far above average,Less than once per week,Not so desirable,Neither agree nor disagree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13363982166,415544481,02/28/2022 10:57:08 PM,02/28/2022 11:01:39 PM,,,,,c885a1a24b4e377c55efc4445e,smc,,,,Nonprofit,Bookkeeper,,Other (please specify),don't work,Pennsylvania,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Always,Never,Below average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$25,000-$49,999",Female,Middle Atlantic,Android Phone / Tablet,45-60
13363979962,415544481,02/28/2022 10:57:14 PM,02/28/2022 11:00:50 PM,,,,,cb0df76bcdb9758861e46bffec,smc,,,,Retail & Consumer Durables,Retail sales associate,,Entry Level,,California,Neither happy nor unhappy,No schooling completed,"Single, never married",Female,,Neither satisfied nor dissatisfied,Once a month,Rarely,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat disagree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,45-60
13363979202,415544481,02/28/2022 10:57:17 PM,02/28/2022 11:00:33 PM,,,,,c4102687f24bd102ec49ae24e8,smc,,,,Transportation & Delivery,Truck Driver,,Middle Management,,Ohio,Somewhat unhappy,Trade/Vocation School,Married or domestic partnership,Female,,Very dissatisfied,Less than once a month,Never,Usually,Average,I never work out or exercise,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Female,East North Central,Android Phone / Tablet,> 60
13363977542,415544481,02/28/2022 10:56:04 PM,02/28/2022 10:59:49 PM,,,,,4a4c1955583c6e850be304802f,smc,,,,I am currently not employed,Medical assistant,,Other (please specify),Retire,South Carolina,Very happy,High School,Married or domestic partnership,Female,,Very satisfied,Less than once a month,Always,Rarely,Above average,I never work out or exercise,Very desirable,Agree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13363976970,415544481,02/28/2022 10:55:19 PM,02/28/2022 10:59:35 PM,,,,,fc86f05cbbb25b5c328e8f74bd,smc,,,,Food & Beverages,Administrative assistant,,Senior Management,,North Carolina,Somewhat happy,Trade/Vocation School,Married or domestic partnership,Female,,Satisfied,A few times a week,Usually,Rarely,Above average,Several times per week,Very desirable,Somewhat disagree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13363973192,415544481,02/28/2022 10:55:20 PM,02/28/2022 10:59:32 PM,,,,,d349a4a252a5fa0a6ad6b20bf3,smc,,,,I am currently not employed,Medical assistant,Ratired,Other (please specify),Retired ,Minnesota,Somewhat happy,Bachelor's Degree,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Average,Several times per week,Not so desirable,Agree,"$25,000-$49,999",Female,West North Central,iOS Phone / Tablet,> 60
13363976213,415544481,02/28/2022 10:56:21 PM,02/28/2022 10:59:16 PM,,,,,7e476ddd5e212091bf07cf05bb,smc,,,,I am currently not employed,Operations manager,retired,Other (please specify),retired,South Carolina,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Average,I never work out or exercise,Somewhat desirable,Disagree,"$50,000-$74,999",Female,South Atlantic,Android Phone / Tablet,45-60
13363975983,415544481,02/28/2022 10:56:27 PM,02/28/2022 10:59:10 PM,,,,,56d4486913fd33bdc2479ebf40,smc,,,,Business Support & Logistics,Operations manager,Global sales,Middle Management,,New York,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,About once a week,Usually,Rarely,Average,Several times per week,Somewhat desirable,Disagree,Prefer not to answer,Female,Middle Atlantic,iOS Phone / Tablet,> 60
13363974726,415544481,02/28/2022 10:54:53 PM,02/28/2022 10:58:38 PM,,,,,09328d8d249c0dcb73d852b607,smc,,,,Education,Administrative assistant,teacher,Intermediate,,Wisconsin,Very happy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,About once a week,Usually,Never,Average,Several times per week,Not so desirable,Somewhat agree,"$50,000-$74,999",Female,East North Central,iOS Phone / Tablet,45-60
13363974391,415544481,02/28/2022 10:55:02 PM,02/28/2022 10:58:29 PM,,,,,aeb2ed40ece8bd24fdbc190840,smc,,,,Education,Administrative assistant,Teacher,Owner/Executive/C-Level,,Montana,Very happy,Master's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Never,Average,Several times per week,Somewhat desirable,Disagree,"$75,000-$99,999",Female,Mountain,iOS Phone / Tablet,> 60
13363974057,415544481,02/28/2022 10:56:38 PM,02/28/2022 10:58:20 PM,,,,,6777a7264d2d3031a459d148c6,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Middle Management,,Massachusetts,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,About once a week,Usually,Sometimes,Above average,Several times per week,Somewhat desirable,Disagree,"$25,000-$49,999",Female,New England,iOS Phone / Tablet,> 60
13363972494,415544481,02/28/2022 10:55:45 PM,02/28/2022 10:57:40 PM,,,,,0c937ce7ba76fc662365a9be57,smc,,,,Education,Administrative assistant,,Intermediate,,Virginia,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,About once a week,Usually,Never,Above average,Once per week,Somewhat desirable,Strongly disagree,Prefer not to answer,Female,South Atlantic,iOS Phone / Tablet,45-60
13363971675,415544481,02/28/2022 10:55:08 PM,02/28/2022 10:57:18 PM,,,,,922441999fe000f8426f033a3a,smc,,,,Government,Software developer,systems architect,Middle Management,,Virginia,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Always,Never,Average,Less than once per week,Somewhat desirable,Strongly agree,"$200,000+",Male,South Atlantic,Android Phone / Tablet,45-60
13363969997,415544481,02/28/2022 10:55:01 PM,02/28/2022 10:56:36 PM,,,,,47f5be28e241db7e1f37cb9fa4,smc,,,,Nonprofit,Administrative assistant,,Intermediate,,New York,Very happy,Bachelor's Degree,Widowed,Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Above average,Less than once per week,Somewhat desirable,Disagree,"$25,000-$49,999",Female,Middle Atlantic,iOS Phone / Tablet,> 60
13363969649,415544481,02/28/2022 10:53:30 PM,02/28/2022 10:56:27 PM,,,,,5a07836b804c5a32b9a344c7ed,smc,,,,Entertainment & Leisure,Operations manager,,Owner/Executive/C-Level,,New York,Very happy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Sometimes,Sometimes,Average,I never work out or exercise,Very desirable,Agree,"$75,000-$99,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363969258,415544481,02/28/2022 10:54:36 PM,02/28/2022 10:56:17 PM,,,,,216a624150687f504df11c8f9e,smc,,,,Education,Operations manager,Teacher,Intermediate,,Illinois,Very happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,Once a month,Rarely,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Female,East North Central,iOS Phone / Tablet,45-60
13363968887,415544481,02/28/2022 10:54:49 PM,02/28/2022 10:56:08 PM,,,,,f4c78105982c9d14780a7a8d8a,smc,,,,Manufacturing,Customer service representative,,Middle Management,,Ohio,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a week,Always,Never,Far above average,Every day of the week,Somewhat desirable,Strongly disagree,"$175,000-$199,999",Female,East North Central,Android Phone / Tablet,45-60
13363968074,415544481,02/28/2022 10:54:19 PM,02/28/2022 10:55:48 PM,,,,,681b0c0f12980734b02179c6fb,smc,,,,I am currently not employed,Registered nurse,,Intermediate,,Florida,Neither happy nor unhappy,Trade/Vocation School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Always,Sometimes,Average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,Prefer not to answer,Female,South Atlantic,iOS Phone / Tablet,> 60
13363968013,415544481,02/28/2022 10:54:07 PM,02/28/2022 10:55:47 PM,,,,,30f3bec622ff3be250b78d12a2,smc,,,,I am currently not employed,Software developer,,Other (please specify),Retired,Florida,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Disagree,"$50,000-$74,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13363967297,415544481,02/28/2022 10:53:39 PM,02/28/2022 10:55:29 PM,,,,,41e3b5d5daf5fa26245229ff3a,smc,,,,Education,Administrative assistant,,Middle Management,,New Jersey,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Female,,Very satisfied,About once a week,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Somewhat agree,"$75,000-$99,999",Female,Middle Atlantic,iOS Phone / Tablet,> 60
13363967159,415544481,02/28/2022 10:52:14 PM,02/28/2022 10:55:26 PM,,,,,ef683fddf105a0fbc1448bb17f,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Doctor. There was no “other” option,Intermediate,,Minnesota,Somewhat happy,Ph.D. or higher,"Single, never married",Female,,Neither satisfied nor dissatisfied,Once a month,Usually,Never,Average,Once per week,Somewhat desirable,Somewhat disagree,"$100,000-$124,999",Female,West North Central,iOS Phone / Tablet,45-60
13363966337,415544481,02/28/2022 10:53:14 PM,02/28/2022 10:55:05 PM,,,,,80e195d811250499dc92d1c43e,smc,,,,Retail & Consumer Durables,Retail sales associate,,Owner/Executive/C-Level,,Oregon,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a week,,Never,Above average,Several times per week,Somewhat desirable,Strongly disagree,"$75,000-$99,999",Female,Pacific,iOS Phone / Tablet,45-60
13363966193,415544481,02/28/2022 10:52:32 PM,02/28/2022 10:55:01 PM,,,,,bba36bee0e173733c176d459c4,smc,,,,Nonprofit,Administrative assistant,,Middle Management,,Texas,Somewhat happy,High School,Married or domestic partnership,Female,,Satisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,Prefer not to answer,Female,West South Central,iOS Phone / Tablet,> 60
13363965950,415544481,02/28/2022 10:53:28 PM,02/28/2022 10:54:55 PM,,,,,8012c54f5e8491f7ec1765ae94,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,,Illinois,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,Once a month,Sometimes,Never,Average,Several times per week,Somewhat desirable,Somewhat agree,"$25,000-$49,999",Female,East North Central,Android Phone / Tablet,45-60
13363965943,415544481,02/28/2022 10:52:17 PM,02/28/2022 10:54:55 PM,,,,,0fd400cae93bd16262d92e8bf2,smc,,,,Insurance,Bookkeeper,,Middle Management,,Michigan,Somewhat happy,Master's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$100,000-$124,999",Female,East North Central,iOS Phone / Tablet,45-60
