Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
13364008039,415544481,02/28/2022 11:08:02 PM,02/28/2022 11:11:55 PM,,,,,a2190812e099db1acf53e77e05,smc,,,,Entertainment & Leisure,Server,Middle Management,,Illinois,Very happy,High School,"Single, never married",Male,,Very satisfied,Every day,Always,Never,Far above average,Once per week,Very desirable,Somewhat agree,"$10,000-$24,999",Male,East North Central,iOS Phone / Tablet,30-44
13364006787,415544481,02/28/2022 11:05:37 PM,02/28/2022 11:11:24 PM,,,,,1ddeb642c211b71daab94b9679,smc,,,,Business Support & Logistics,"Administrative assistant, Data Analyst",Intermediate,,Pennsylvania,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,Several times per week,Somewhat desirable,Strongly disagree,"$125,000-$149,999",Male,Middle Atlantic,Android Phone / Tablet,30-44
13364005450,415544481,02/28/2022 11:08:31 PM,02/28/2022 11:10:52 PM,,,,,b90054d9c37f33caa60039537c,smc,,,,I am currently not employed,Carpenter,Other (please specify),No job,Idaho,Neither happy nor unhappy,Some High School,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Below average,Once per week,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Male,Mountain,iOS Phone / Tablet,30-44
13364003988,415544481,02/28/2022 11:09:07 PM,02/28/2022 11:10:18 PM,,,,,c1500568d8ec1be3728e7e2bde,smc,,,,Transportation & Delivery,Operations manager,Owner/Executive/C-Level,,Illinois,Very happy,Bachelor's Degree,"Single, never married",Male,,Very satisfied,A few times a week,Always,Never,Far above average,Several times per week,Very desirable,Agree,"$200,000+",Male,East North Central,iOS Phone / Tablet,18-29
13364002431,415544481,02/28/2022 11:07:30 PM,02/28/2022 11:09:39 PM,,,,,842ade9945763dbbe7df8f6460,smc,,,,Manufacturing,Laborer,Intermediate,,Ohio,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Very satisfied,A few times a week,Usually,Never,Above average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Male,East North Central,Android Phone / Tablet,18-29
13364002051,415544481,02/28/2022 11:07:49 PM,02/28/2022 11:09:30 PM,,,,,36a6c7935235f2b843f731f3f9,smc,,,,Manufacturing,Software developer,Intermediate,,New York,Somewhat unhappy,Bachelor's Degree,"Single, never married",Male,,Satisfied,A few times a week,Usually,Never,Below average,Less than once per week,Not so desirable,Strongly disagree,"$50,000-$74,999",Male,Middle Atlantic,Android Phone / Tablet,18-29
13364000255,415544481,02/28/2022 11:06:27 PM,02/28/2022 11:08:44 PM,,,,,bff455e58d2e29f9574df221af,smc,,,,Food & Beverages,"Operations manager, Brewer",Senior Management,,New Mexico,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Very satisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Disagree,"$25,000-$49,999",Male,Mountain,iOS Phone / Tablet,30-44
13364000251,415544481,02/28/2022 11:06:43 PM,02/28/2022 11:08:44 PM,,,,,45ec2cf9974c4be8fe06060f36,smc,,,,Business Support & Logistics,Operations manager,Middle Management,,New York,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Once a month,Always,Never,Above average,Less than once per week,Not so desirable,Somewhat agree,"$125,000-$149,999",Male,Middle Atlantic,iOS Phone / Tablet,30-44
13364000197,415544481,02/28/2022 11:07:23 PM,02/28/2022 11:08:42 PM,,,,,abcd073346b91ce299246364f7,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,Intermediate,,Virginia,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Satisfied,Less than once a month,Always,Never,Average,Every day of the week,Somewhat desirable,Strongly agree,"$100,000-$124,999",Male,South Atlantic,iOS Phone / Tablet,30-44
13364000113,415544481,02/28/2022 11:07:19 PM,02/28/2022 11:08:40 PM,,,,,d88e47cd86c50b012d385f8943,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,Intermediate,,Arizona,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Average,Several times per week,Somewhat desirable,Strongly disagree,"$175,000-$199,999",Male,Mountain,iOS Phone / Tablet,30-44
13363998938,415544481,02/28/2022 11:07:02 PM,02/28/2022 11:08:11 PM,,,,,4b9d30abcee2a4fbf8d660df06,smc,,,,Automotive,Mechanic,Senior Management,,New Jersey,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,Once a month,Sometimes,Never,Average,Several times per week,Very desirable,Disagree,"$150,000-$174,999",Male,Middle Atlantic,iOS Phone / Tablet,30-44
13363998749,415544481,02/28/2022 11:07:19 PM,02/28/2022 11:08:06 PM,,,,,a6db1f9dd0aae04b4042bdf4d7,smc,,,,"Construction, Machinery, and Homes",Laborer,Middle Management,,Texas,Somewhat happy,High School,Married or domestic partnership,Male,,Very satisfied,About once a week,Sometimes,Sometimes,Average,Several times per week,Very desirable,Agree,"$10,000-$24,999",Male,West South Central,iOS Phone / Tablet,18-29
