,ID,Gender,Age,Your Industry,Occupation,2nd Occupation,Job Level,Income,State,Job Role Happiness,Highest Degree Completed,Marital Status,Sexual Satisfaction,Sex Frequency,Orgasm Frequency,Orgasm Faking,Sexual Performance,Excercise Frequency,Desirable Level,Better Sex Before Graduating
0,13364008039.0,Male,30-44,Entertainment & Leisure,Server,,Middle Management,"$10,000-$24,999",Illinois,Very happy,High School,"Single, never married",Very satisfied,Every day,Always,Never,Far above average,Once per week,Very desirable,Somewhat agree
1,13364006787.0,Male,30-44,Business Support & Logistics,Administrative assistant, Data Analyst,Intermediate,"$125,000-$149,999",Pennsylvania,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,Several times per week,Somewhat desirable,Strongly disagree
2,13364005450.0,Male,30-44,I am currently not employed,Carpenter,,Other (please specify),"$10,000-$24,999",Idaho,Neither happy nor unhappy,Some High School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Below average,Once per week,Somewhat desirable,Neither agree nor disagree
3,13364003988.0,Male,18-29,Transportation & Delivery,Operations manager,,Owner/Executive/C-Level,"$200,000+",Illinois,Very happy,Bachelor's Degree,"Single, never married",Very satisfied,A few times a week,Always,Never,Far above average,Several times per week,Very desirable,Agree
4,13364002431.0,Male,18-29,Manufacturing,Laborer,,Intermediate,"$75,000-$99,999",Ohio,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Very satisfied,A few times a week,Usually,Never,Above average,Less than once per week,Somewhat desirable,Neither agree nor disagree
5,13364002051.0,Male,18-29,Manufacturing,Software developer,,Intermediate,"$50,000-$74,999",New York,Somewhat unhappy,Bachelor's Degree,"Single, never married",Satisfied,A few times a week,Usually,Never,Below average,Less than once per week,Not so desirable,Strongly disagree
6,13364000255.0,Male,30-44,Food & Beverages,Operations manager, Brewer,Senior Management,"$25,000-$49,999",New Mexico,Very happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Disagree
7,13364000251.0,Male,30-44,Business Support & Logistics,Operations manager,,Middle Management,"$125,000-$149,999",New York,Very happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Once a month,Always,Never,Above average,Less than once per week,Not so desirable,Somewhat agree
8,13364000197.0,Male,30-44,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,"$100,000-$124,999",Virginia,Somewhat happy,Bachelor's Degree,"Single, never married",Satisfied,Less than once a month,Always,Never,Average,Every day of the week,Somewhat desirable,Strongly agree
9,13364000113.0,Male,30-44,"Telecommunications, Technology, Internet & Electronics",Software developer,,Intermediate,"$175,000-$199,999",Arizona,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Satisfied,A few times a week,Always,Never,Average,Several times per week,Somewhat desirable,Strongly disagree
10,13363998938.0,Male,30-44,Automotive,Mechanic,,Senior Management,"$150,000-$174,999",New Jersey,Very happy,Bachelor's Degree,Married or domestic partnership,Satisfied,Once a month,Sometimes,Never,Average,Several times per week,Very desirable,Disagree
11,13363998749.0,Male,18-29,"Construction, Machinery, and Homes",Laborer,,Middle Management,"$10,000-$24,999",Texas,Somewhat happy,High School,Married or domestic partnership,Very satisfied,About once a week,Sometimes,Sometimes,Average,Several times per week,Very desirable,Agree
12,13363997790.0,Male,30-44,Government,Customer service representative, Benefit Technician,Intermediate,"$50,000-$74,999",Missouri,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,A few times a month,Usually,Rarely,Average,Several times per week,Somewhat desirable,Somewhat disagree
